YEAR,MO,DY,HR,WS10M,WD10M,RH2M,T2M
2023,1,22,3,1.96,217.3,98.07,21.68
2023,1,22,4,1.99,214.2,98.39,21.58
2023,1,22,5,1.93,210.1,98.52,21.52
2023,1,22,6,2.54,209.5,95.92,22.59
2023,1,22,7,3.37,214.4,91.96,23.54
2023,1,22,8,3.78,223.7,86.41,24.56
2023,1,22,9,4.4,232.8,80.29,25.87
2023,1,22,10,4.85,235.5,76.81,26.64
2023,1,22,11,5.16,234.6,75.2,26.99
2023,1,22,12,5.46,233.7,74.72,27.07
2023,1,22,13,5.61,232.5,75.75,26.73
2023,1,22,14,5.56,230.6,77.6,26.21
2023,1,22,15,5.21,228.6,79.81,25.59
2023,1,22,16,4.79,228.1,83.95,24.63
2023,1,22,17,3.9,229.8,90.78,23.44
2023,1,22,18,3.19,231.2,95.19,22.59
2023,1,22,19,3.24,231.1,96.19,22.37
2023,1,22,20,3.18,232.9,96.65,22.25
2023,1,22,21,3.11,236.7,97.06,22.15
2023,1,22,22,2.9,238.8,97.34,22.07
2023,1,22,23,2.38,240.5,97.79,21.92
2023,1,23,0,2.07,242.7,97.85,21.81
2023,1,23,1,2.24,241.7,97.64,21.8
2023,1,23,2,2.63,235.5,97.41,21.78
2023,1,23,3,2.49,230.2,97.61,21.63
2023,1,23,4,2.34,229.2,97.89,21.49
2023,1,23,5,2.32,229.4,98.01,21.41
2023,1,23,6,2.97,230,95.16,22.54
2023,1,23,7,3.78,235,90.25,23.72
2023,1,23,8,4.06,243.5,85.62,24.64
2023,1,23,9,3.95,252.5,81.48,25.54
2023,1,23,10,4.01,256.6,77.89,26.38
2023,1,23,11,4.33,257.7,75.55,26.97
2023,1,23,12,4.55,257.7,74.59,27.18
2023,1,23,13,4.57,254.5,74.8,27.1
2023,1,23,14,4.34,250.1,75.92,26.76
2023,1,23,15,4.08,247.8,77.8,26.21
2023,1,23,16,3.85,249,80.8,25.46
2023,1,23,17,3.2,250.1,87.75,24.24
2023,1,23,18,2.43,252,94.47,22.98
2023,1,23,19,2.28,255.3,95.82,22.59
2023,1,23,20,2.17,257.8,96.86,22.33
2023,1,23,21,2.14,259.2,97.27,22.17
2023,1,23,22,2.22,261.2,97.89,21.95
2023,1,23,23,2.29,264.2,98.2,21.87
2023,1,24,0,2.33,266.3,98.39,21.8
2023,1,24,1,2.58,267.3,97.77,21.8
2023,1,24,2,2.9,268,97.1,21.86
2023,1,24,3,3,268.9,97.16,21.82
2023,1,24,4,2.98,270,97.13,21.78
2023,1,24,5,2.92,271.4,97.24,21.73
2023,1,24,6,3.41,272,95.91,22.33
2023,1,24,7,3.93,272.9,93.64,23.06
